1968,GOLD AM,,GOLD PM,,SILVER,
Feb Low,229.9,116.094,229.35,115.728,661.5,334.1
Feb Avg,245.59,122.471,245.67,122.5852,734.815,366.5775
Mar High,249.3,123.306,248.8,122.967,772.6,380.2
Mar Low,238.75,116.081,238.15,115.878,712.6,348.35
Mar Avg,242.3477,118.9166,242.0477,118.7033,741.5455,363.9136
Apr High,243.45,118.53,245.3,118.761,765.1,371.75
Apr Low,231.75,110.959,231.9,111.037,733.1,351.8
Apr Avg,239.1737,115.3578,239.1605,115.2939,745.1421,359.3447
May High,277.15,134.499,274.6,133.32,894.6,435.8
May Low,245.9,118.295,246.3,118.738,788.6,381.35
May Avg,257.7381,125.2504,257.6167,125.1761,838.7619,407.7262
June High,284.5,136.888,283.85,136.566,882.3,417.2
June Low,273.6,127.467,272.9,127.319,829.4,393.4
June Avg,279.3595,132.4001,279.0667,132.2129,855.0762,405.269
July High,307,132.634,305.8,132.393,958.2,417.65
July Low,281.8,127.473,281.35,127.273,860.2,392.05
July Avg,295.0091,130.4996,294.7364,130.3555,916.2364,405.1727
Aug High,318.65,141.717,319.15,142.034,1038.6,462.2
Aug Low,282.5,126.37,282.7,125.477,878.2,390.2
Aug Avg,300.7932,134.3842,300.8182,134.3238,931.5136,416.15
Sept High,397,180.496,397.25,181.062,1830.3,850.5
Sept Low,319.3,141.93,322.9,143.46,1090.5,484.5
Sept Avg,354.4975,161.3961,355.115,161.5911,1374.955,626.9525
Oct High,437,199.071,426,194.609,1810,825
Oct Low,367.5,167.923,372,173.184,1490,682.55
Oct Avg,390.9587,181.9983,391.6565,182.4625,1668.3826,777.2565
Nov High,417.2,190.008,415.65,189.624,1900,865.6
Nov Low,373,178.164,372.8,177.989,1601.5,744.45
Nov Avg,391.5182,183.7395,391.9932,183.6808,1661.7364,780.2977
Dec High,524,235.189,512,229.391,3220,1446.85
Dec Low,427.25,193.876,426.4,193.418,1900.9,876.15
 Dec Avg,463.6658,210.6709,455.0844,207.0912,2238.8053,1016.9237
1979 High,524,235.189,512,229.391,3220,1446.85
1979 Low,216.55,108.71,216.85,108.621,593.5,296.4
1979 Average,307.0087,144.0484,304.6824,143.0293,1106.7905,517.882


1980,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,843,367.753,850,371.066,4945,2165.05
Jan Low,559,251.123,559.5,250.841,3275,1463.05
Jan Avg,674.5795,297.7104,675.3091,297.7324,3928.4318,1733.5523
Feb High,714.5,309.736,710.5,308.296,4025,1743.9
Feb Low,625,274.58,606,265.789,3000,1316.95
Feb Avg,665.8929,290.5284,665.3214,290.3975,3559.8095,1553.6857
Mar High,641.75,286.291,643.5,286.382,3631,1622.1
Mar Low,474,217.033,481.5,219.013,1349.4,622.4
Mar Avg,554.2762,250.7593,553.581,250.5183,2473.5476,1117.681
Apr High,552,250.515,554,253.257,1760,805.5
Apr Low,491.25,220.336,485.75,223.719,1356,599.8
Apr Avg,516.71,233.1782,517.41,233.4459,1497.825,676.92
May High,531.4,228.167,535.5,229.308,1398,592.6
May Low,507.5,217.789,490,215.577,1089,467.8
May Avg,514.2675,223.3956,513.82,223.0606,1266.435,549.905
June High,662.5,280.78,653.5,277.106,1785,758.9
June Low,554.5,237.555,552.5,237.43,1416.7,605.8
June Avg,600.7857,256.9786,600.7167,256.8948,1580.7762,676.1119
July High,688.75,289.051,687.5,289.169,1746,733.2
July Low,610,256.642,606,255.083,1536.1,646.8
July Avg,645.75,272.127,644.2826,271.5349,1631.8,687.7543
Aug High,640.5,270.481,645.25,272.372,1622.5,685.6
Aug Low,609.75,256.986,605,254.898,1548.1,653.9
Aug Avg,626.36,264.3412,627.1475,264.5018,1591.96,671.6425
Sept High,720.5,298.628,711,296.204,2354,978.8
Sept Low,626.25,260.558,628.75,260.676,1599,665.7
Sept Avg,673.9409,280.4612,673.625,280.3075,1989.2136,828.0614
Oct High,683.5,285.168,690,288.124,2175.2,908.8
Oct Low,628,255.544,629,258.157,1864,767.4
Oct Avg,662.2696,274.112,661.1478,273.5936,2021.6261,836.6652
Nov High,655,269.754,652,268.507,2010,821.9
Nov Low,598.75,248.537,596,247.047,1750,720.9
Nov Avg,623.875,259.9777,623.4625,259.9913,1862.825,776.5925
Dec High,635.5,269.737,635,270.213,1890.2,804.35
Dec Low,553.5,239.041,558,240.777,1430,618.5
 Dec Avg,596.7119,254.2018,594.9211,253.8636,1642.3857,700.7595
1980 High,843,367.753,850,371.066,4945,2165.05
1980 Low,474,217.033,481.5,215.577,1089,467.8
1980 Average,614.7526,263.7912,614.499,263.6994,2098.3654,905.2415
