1968,GOLD AM,,GOLD PM,,SILVER,
July High,35.5,14.8208,35.49,14.8146,178.3,74.5833
July Low,35.275,14.7583,35.275,14.7521,159.6,66.7708
July Avg,35.3293,14.7775,35.3211,14.7747,168.113,70.3238
Aug High,35.87,15.0458,35.8,15.0208,186.5,78.2292
Aug Low,35.25,14.75,35.225,14.7417,172.7,72.2917
Aug Avg,35.3773,14.8132,35.3798,14.8148,179.31,75.0833
Sept High,36.35,15.2563,36.4,15.2438,186.8,78.3333
Sept Low,35.85,15.0438,35.925,15.0771,170.1,71.25
Sept Avg,36.1961,15.1778,36.1934,15.1748,180.45,75.6061
Oct High,39.19,16.4021,39.01,16.3271,179.9,75.3125
Oct Low,36.275,15.2042,36.325,15.2229,170.6,71.5104
Oct Avg,37.5527,15.73,37.518,15.7142,174.6409,73.1534
Nov High,37.9,15.8646,37.675,15.7625,182.4,76.3542
Nov Low,36.8,15.3833,36.75,15.3646,165.3,69.1667
Nov Avg,37.4548,15.6701,37.4405,15.663,175.881,73.5789
Dec High,37.71,15.7771,37.675,15.7479,166.7,69.6875
Dec Low,36.975,15.475,37.1,15.5229,157.9,66.0938
 Dec Avg,37.4339,15.6577,37.4345,15.659,163.0273,68.1937
1970 High,39.19,16.4021,39.01,16.3271,192.8,80.1042
1970 Low,34.775,14.4854,34.75,14.4771,156.8,65.3125
1970 Average,35.9635,15.0121,35.9501,15.0064,176.5749,73.6934



1971,GOLD AM,,GOLD PM,,SILVER,
,$,£,$,£,¢,p
Jan High,38.275,15.9375,38.15,15.8375,170.9,71.25
Jan Low,37.325,15.5917,37.39,15.6042,156.2,64.6875
Jan Avg,37.8675,15.7451,37.8738,15.7439,163.425,67.9453
Feb High,39.05,16.152,38.95,16.11,162,66.9792
Feb Low,38.1,15.759,38.175,15.789,157.5,65.1
Feb Avg,38.716,16.0153,38.744,16.0248,159.545,65.9856
Mar High,39.075,16.151,39.04,16.136,169.1,69.9
Mar Low,38.7,16.006,38.69,16.01,159.9,66.2
Mar Avg,38.8728,16.0727,38.8707,16.0709,166.013,68.6391
Apr High,39.6,16.368,39.7,16.409,175.4,72.6
Apr Low,38.825,16.081,38.85,16.06,167.2,69.1
Apr Avg,39.001,16.131,39.0143,16.1352,172.035,71.15
May High,41.2,17.032,41.2,17.03,170,70.3
May Low,39.42,16.294,39.43,16.297,160.1,66.2
May Avg,40.4925,16.7411,40.5155,16.7495,166.12,68.68
June High,40.85,16.896,40.84,16.895,164.3,67.9
June Low,39.49,16.332,39.55,16.35,157.5,65.1
June Avg,40.1048,16.58,40.102,16.5779,160.3545,66.2909
July High,42.475,17.564,42.4,17.529,160.2,66.2
July Low,40.1,16.576,40.24,16.634,154.3,63.8
July Avg,40.9293,16.9226,40.9518,16.9313,157.2591,65.0182
Aug High,43.4,17.901,43.94,18.162,162.6,67.2
Aug Low,41,16.606,40.65,16.511,150.2,61
Aug Avg,42.7218,17.5218,42.7275,17.5056,158.6813,65.3667
Sept High,42.725,17.224,43.15,17.402,150.2,61.1
Sept Low,40.7,16.575,41.1,16.736,137.2,55.4
Sept Avg,41.9764,16.9989,42.0216,17.0181,141.6227,57.3636
Oct High,42.6,17.111,42.7,17.153,138,55.5
Oct Low,42.175,16.968,42.34,16.998,129.3,51.9
Oct Avg,42.4762,17.0545,42.5043,17.0637,132.5048,53.1952
Nov High,43.65,17.503,43.66,17.507,133.6,53.6
Nov Low,42.125,16.905,42.15,16.915,127.2,51
Nov Avg,42.842,17.1822,42.8584,17.1886,131.0818,52.5682
Dec High,43.9,17.565,43.975,17.596,142.6,56.4
Dec Low,42.4,16.811,42.72,16.887,132.4,53.1
