1968,DAILY,SILVER
 ,US¢,GBP

02-Jan-68,217.3,90.417
03-Jan-68,222.5,92.5
04-Jan-68,217.1,90.208
05-Jan-68,215.7,89.583
08-Jan-68,216.3,89.792
09-Jan-68,210.9,87.5
10-Jan-68,208.5,86.458
11-Jan-68,209.4,86.875
12-Jan-68,212.7,88.333
15-Jan-68,211.4,87.708
16-Jan-68,206.9,85.833
17-Jan-68,206.7,85.833
18-Jan-68,205.8,85.417
19-Jan-68,207.8,86.25
22-Jan-68,208.8,86.667
23-Jan-68,208,86.354
24-Jan-68,206.4,85.625
25-Jan-68,201.8,83.75
26-Jan-68,206.9,85.833
29-Jan-68,203.9,84.583
30-Jan-68,201.9,83.75
31-Jan-68,196,81.25
01-Feb-68,199.5,82.708
02-Feb-68,202,83.75
05-Feb-68,200,82.917
06-Feb-68,194.8,80.833
07-Feb-68,196.5,81.458
08-Feb-68,197.9,82.083
09-Feb-68,193.8,80.417
12-Feb-68,192.9,80
13-Feb-68,192.3,79.792
14-Feb-68,191.9,79.583
15-Feb-68,193.9,80.417
16-Feb-68,199.9,82.917
19-Feb-68,196.9,81.667
20-Feb-68,198,82.083
21-Feb-68,203,84.167
22-Feb-68,202.9,84.167
23-Feb-68,201.7,83.75
26-Feb-68,206.5,85.833
27-Feb-68,210.5,87.5
28-Feb-68,210.5,87.5
29-Feb-68,208.4,86.667
01-Mar-68,220,91.667
04-Mar-68,219,91.25
05-Mar-68,218.8,91.25
06-Mar-68,213.4,88.75
07-Mar-68,218.9,91.25
08-Mar-68,222.8,93.125
11-Mar-68,219.7,91.667
12-Mar-68,222.2,92.708
13-Mar-68,237,98.958
14-Mar-68,249,104.167
15-Mar-68,***,***
18-Mar-68,211.9,88.333
19-Mar-68,240.4,100
20-Mar-68,223.7,92.917
21-Mar-68,230.3,95.833
22-Mar-68,221.8,92.292
25-Mar-68,224.1,93.333
26-Mar-68,224.3,93.333
27-Mar-68,230.2,95.833
28-Mar-68,224.9,93.75
29-Mar-68,227.8,95
 ,DAILY,SILVER
 ,US¢,GBP
01-Apr-68,225.9,93.958
02-Apr-68,220.2,91.563
03-Apr-68,219.5,91.25
04-Apr-68,212.5,88.333
05-Apr-68,210.4,87.5
08-Apr-68,213.4,88.75
09-Apr-68,220.5,91.667
10-Apr-68,220.3,91.667
11-Apr-68,216.1,90
12-Apr-68,***,***
15-Apr-68,***,***
16-Apr-68,225.3,93.75
17-Apr-68,230.3,95.833
18-Apr-68,223.2,92.917
19-Apr-68,228.1,95
22-Apr-68,236,98.333
23-Apr-68,236,98.333
24-Apr-68,229.9,95.833
25-Apr-68,230.8,96.25
26-Apr-68,232.7,97.083
29-Apr-68,239.6,100
30-Apr-68,239.7,100
01-May-68,235.7,98.333
