"Index" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted"
1984-09-07 3.22468898486979 3.26971294428118 3.1942673906729 3.22468898486979 3062791.49596773 3.01
1984-09-10 3.22468898486979 3.23929135008429 3.14802656749364 3.20886975588741 2410294.46140954 3
1984-09-11 3.23929135008429 3.33055613267494 3.23929135008429 3.26971294428118 5592244.73572858 3.05
1984-09-12 3.26971294428118 3.28553217326356 3.17844816169052 3.17844816169052 4903589.17532585 2.97
1984-09-13 3.34637536165733 3.36097772687183 3.34637536165733 3.34637536165733 7631914.30723164 3.12
1984-09-14 3.36097772687183 3.46806173844486 3.36097772687183 3.39139932106871 9066750.35551704 3.17
1984-09-17 3.48266410365937 3.52890492683863 3.48266410365937 3.48266410365937 7073922.51067621 3.25
1984-09-18 3.48266410365937 3.51308569785625 3.36097772687183 3.36097772687183 3590377.25942662 3.14
1984-09-19 3.36097772687183 3.39139932106871 3.28553217326356 3.28553217326356 3919912.91541886 3.07
1984-09-20 3.30013453847806 3.33055613267494 3.30013453847806 3.30013453847806 2452205.48000207 3.08
1984-09-21 3.30013453847806 3.39139932106871 3.22468898486979 3.26971294428118 3688991.42082081 3.05
1984-09-24 3.26971294428118 3.28553217326356 3.23929135008429 3.23929135008429 2910761.33048503 3.02
1984-09-25 3.22468898486979 3.22468898486979 3.17844816169052 3.17844816169052 6140375.11614459 2.97
1984-09-26 3.17844816169052 3.31595376746044 3.13342420227913 3.13342420227913 4095774.83657182 2.93
1984-09-27 3.13342420227913 3.14802656749364 3.13342420227913 3.13342420227913 3899368.29846174 2.93
1984-09-28 3.13342420227913 3.13342420227913 2.99591859650921 3.05676178490298 8572035.97918954 2.85
1984-10-01 3.04215941968848 3.04215941968848 2.98131623129471 2.98131623129471 3617496.15381002 2.78
1984-10-02 3.01173782549159 3.11760497329675 3.01173782549159 3.01173782549159 4374359.84251039 2.81
1984-10-03 3.05676178490298 3.10300260808225 3.05676178490298 3.05676178490298 4453251.17162574 2.85
1984-10-04 3.08718337909987 3.11760497329675 3.08718337909987 3.08718337909987 4604459.55243016 2.88
1984-10-05 3.08718337909987 3.08718337909987 3.01173782549159 3.0263401907061 3605991.16831404 2.83
1984-10-08 3.0263401907061 3.04215941968848 3.0263401907061 3.0263401907061 1768480.62766905 2.83
1984-10-09 3.0263401907061 3.04215941968848 2.99591859650921 2.99591859650921 4638152.72423984 2.8
1984-10-10 2.99591859650921 2.99591859650921 2.90465381391856 2.90465381391856 13426318.0738183 2.71
1984-10-11 2.90465381391856 2.98131623129471 2.89005144870405 2.89005144870405 6732060.0845097 2.7
1984-10-12 2.89005144870405 2.90465381391856 2.73794347771963 2.76836507191651 9781703.02562488 2.58
1984-10-15 2.92047304290094 2.95089463709782 2.92047304290094 2.92047304290094 8952522.28523544 2.73
1984-10-16 2.92047304290094 2.93507540811544 2.90465381391856 2.90465381391856 4362033.07233612 2.71
1984-10-17 3.0263401907061 3.04215941968848 3.0263401907061 3.0263401907061 5789473.05851695 2.83
1984-10-18 3.11760497329675 3.13342420227913 3.11760497329675 3.11760497329675 9083186.04908273 2.91
1984-10-19 3.11760497329675 3.33055613267494 3.10300260808225 3.11760497329675 11991482.0255329 2.91
1984-10-22 3.11760497329675 3.16384579647602 3.08718337909987 3.08718337909987 4220686.10767112 2.88
1984-10-23 3.16384579647602 3.1942673906729 3.16384579647602 3.16384579647602 6850397.07818273 2.95
1984-10-24 3.1942673906729 3.22468898486979 3.1942673906729 3.1942673906729 6152701.88631887 2.98
1984-10-25 3.1942673906729 3.1942673906729 3.07258101388536 3.07258101388536 5830562.2924312 2.87
