1981,DAILY,SILVER
06-May-81,1098.9,517.6
07-May-81,1091,517.55
08-May-81,1110.5,525.3
11-May-81,1142,541.6
12-May-81,1110,529.7
13-May-81,1101.7,526.5
14-May-81,1086.9,525.95
15-May-81,1090.5,525.05
18-May-81,1094.5,521.7
19-May-81,1093.7,522.55
20-May-81,1095,522.7
21-May-81,1083.2,522
22-May-81,1065.1,516.3
25-May-81,***,***
26-May-81,1033.5,499.5
27-May-81,1024,496.6
28-May-81,1056.1,512.55
29-May-81,1058.5,511
01-Jun-81,1067.3,516.7
02-Jun-81,1048,514.1
03-Jun-81,1049.9,521.2
04-Jun-81,1003,513.2
05-Jun-81,999.4,518.1
08-Jun-81,1010.1,522.7
09-Jun-81,1025,525.65
10-Jun-81,1019.9,519.1
11-Jun-81,1015,521.7
12-Jun-81,1047,536.5
15-Jun-81,1054,531.4
16-Jun-81,1015,506.25
17-Jun-81,1006,502.9
18-Jun-81,997.5,503.3
19-Jun-81,991,503.95
22-Jun-81,1007.2,507.55
23-Jun-81,1024.2,512.2
24-Jun-81,1011,510.6
25-Jun-81,990.1,503.85
26-Jun-81,920,474.05
29-Jun-81,858.6,440.65
30-Jun-81,830,428.5
01-Jul-81,845,442.5
02-Jul-81,831.1,442.3
03-Jul-81,844.1,445.55
06-Jul-81,819.9,435.3
07-Jul-81,847.3,442
08-Jul-81,832.7,441.85
09-Jul-81,871,461.35
10-Jul-81,892,471.7
13-Jul-81,902,475
14-Jul-81,868,466.9
15-Jul-81,868,462.3
16-Jul-81,898.5,477.55
17-Jul-81,888,474.35
20-Jul-81,887.5,473.85
21-Jul-81,854.2,462.55
22-Jul-81,870,468.25
23-Jul-81,861.5,463.2
24-Jul-81,846,456.75
27-Jul-81,851,453.5
28-Jul-81,834.5,448.9
29-Jul-81,***,***
30-Jul-81,841.2,455.45
31-Jul-81,851,458.65
03-Aug-81,824,452.1
04-Aug-81,826,455.9
05-Aug-81,828,458.35
06-Aug-81,842.1,467.05
07-Aug-81,851.2,475.8
10-Aug-81,834.5,474.4
11-Aug-81,855.2,483.1
12-Aug-81,898,501
13-Aug-81,891,493.75
14-Aug-81,931,515.65
17-Aug-81,897,496.7
18-Aug-81,942.5,509.85
19-Aug-81,972,531
20-Aug-81,947.9,512.65
21-Aug-81,948.5,507.9
24-Aug-81,949,504.8
25-Aug-81,870,475.3
26-Aug-81,882,480.4
27-Aug-81,888.5,483.4
28-Aug-81,915.4,498.2
01-Sep-81,915,499.2
02-Sep-81,939.7,510.4
03-Sep-81,959.2,518.9
04-Sep-81,995,539.15
07-Sep-81,985,541.5
08-Sep-81,1002.8,555.1
09-Sep-81,1019,570.55
10-Sep-81,1092.3,610.4
11-Sep-81,1078.3,601.05
14-Sep-81,1124.3,633.05
15-Sep-81,1103,608.05
16-Sep-81,1090.5,590.75
17-Sep-81,1105,596.15
18-Sep-81,1006,547.8
21-Sep-81,1025.9,557.25
22-Sep-81,1032,561.95
23-Sep-81,1017.2,556.9
24-Sep-81,978.5,547.7
25-Sep-81,954,534.75
28-Sep-81,876.9,495.85
29-Sep-81,902,503.6
30-Sep-81,895,496.65
01-Oct-81,932,509.6
02-Oct-81,933.2,510.1
05-Oct-81,944.5,515.4
06-Oct-81,903.9,487.55
07-Oct-81,928,498
08-Oct-81,923,489.9
09-Oct-81,949.2,498
12-Oct-81,948.25,504.65
13-Oct-81,930.2,498.1
14-Oct-81,932.5,503.8
15-Oct-81,969.1,520
16-Oct-81,950.1,517.5
19-Oct-81,936.3,508.7
20-Oct-81,923,502.75
21-Oct-81,909.5,498.1
22-Oct-81,909,500
23-Oct-81,908,498.75
26-Oct-81,895,496.4
27-Oct-81,893.3,491.9
28-Oct-81,915.1,503.2
29-Oct-81,893.1,489.65
30-Oct-81,912,493.9
02-Nov-81,916.8,489.35
03-Nov-81,900.9,482.15
04-Nov-81,914.8,486.85
05-Nov-81,906.9,482.9
06-Nov-81,904.6,482.95
09-Nov-81,911.1,481.1
10-Nov-81,889,473.5
11-Nov-81,862.5,458.8
12-Nov-81,857.8,455.2
13-Nov-81,867,455.1
16-Nov-81,829,430.5
17-Nov-81,804,422.8
18-Nov-81,817,431.5
19-Nov-81,819.6,426.5
20-Nov-81,819,429.1
23-Nov-81,803,423.65
24-Nov-81,810.8,424.4
25-Nov-81,817,424.6
26-Nov-81,819.6,422.6
27-Nov-81,823.2,422.5
30-Nov-81,826.6,419.6
01-Dec-81,806.8,412.8
02-Dec-81,809,415.9
03-Dec-81,848.7,438.25
04-Dec-81,875,448.5
07-Dec-81,868.2,446.25
08-Dec-81,878,454.2
09-Dec-81,863.5,448.8
10-Dec-81,848,445.6
11-Dec-81,850.3,452.15
14-Dec-81,870,467.75
15-Dec-81,852,453.55
16-Dec-81,869.75,458.35
17-Dec-81,882.5,465.95
18-Dec-81,877,468.25
21-Dec-81,864,460.45
22-Dec-81,833.8,442.1
23-Dec-81,830,438.35
24-Dec-81,829.3,439.95
28-Dec-81,***,***
29-Dec-81,805,425.25
30-Dec-81,805.2,423.55
31-Dec-81,815.4,426.9



1982,DAILY,SILVER
 ,US¢,GBP

01-Jan-82,***,***
04-Jan-82,806.2,414.5
05-Jan-82,815.5,425.4
06-Jan-82,826.2,429.4
07-Jan-82,810.5,423.8
08-Jan-82,822,429
11-Jan-82,800.5,423
12-Jan-82,808.5,430.95
13-Jan-82,792.1,421.8
14-Jan-82,772,415.15
15-Jan-82,792.2,421.85
18-Jan-82,779,416.95
19-Jan-82,790.1,417.15
20-Jan-82,781.6,414.75
21-Jan-82,785.8,416.1
22-Jan-82,791.5,423.05
25-Jan-82,772.8,417
26-Jan-82,779.1,420.45
27-Jan-82,804,428.6
28-Jan-82,801.8,428.9
29-Jan-82,828,439.85
01-Feb-82,812,434.5
02-Feb-82,805,434.45
03-Feb-82,815.8,435.9
04-Feb-82,841,450.7
05-Feb-82,851.6,455.9
08-Feb-82,848,455.9
09-Feb-82,838,453.85
10-Feb-82,866,467.85
11-Feb-82,856,462.45
12-Feb-82,851.8,463.95
15-Feb-82,851.3,465.7
16-Feb-82,856.7,467.45
17-Feb-82,844,459.2
18-Feb-82,825.3,447.55
19-Feb-82,829,446.9
22-Feb-82,808.3,437.15
23-Feb-82,784,426.7
24-Feb-82,796,435.2
25-Feb-82,803.3,439.3
26-Feb-82,784,431.6
01-Mar-82,774.1,425.2
02-Mar-82,792.7,434.95
03-Mar-82,778,427.25
04-Mar-82,752.75,412.35
05-Feb-83,754,409.7
08-Mar-82,734,401.3
09-Mar-82,700.5,386.05
10-Mar-82,720.5,397.75
11-Mar-82,719.5,397.3
12-Mar-82,704,390.55
15-Mar-82,696,385.6
16-Mar-82,715,395.6
17-Mar-82,707.9,391.65
18-Mar-82,713,393.8
19-Mar-82,700,388.55
22-Mar-82,706.5,391.85
23-Mar-82,721.1,399.95
24-Mar-82,728.5,402.7
25-Mar-82,706,391.9
26-Mar-82,705.9,394.9
29-Mar-82,701,392.8
30-Mar-82,708.3,397.25
31-Mar-82,706,395.85
01-Apr-82,711,398.2
02-Apr-82,711,397
05-Apr-82,728,410.7
06-Apr-82,737.6,420.75
07-Apr-82,747.5,425.3
08-Apr-82,741,421.75
09-Apr-82,***,***
12-Apr-82,***,***
13-Apr-82,739,419.15
14-Apr-82,760.8,430.8
15-Apr-82,748.5,425.75
16-Apr-82,751.5,427.7
19-Apr-82,747.5,424.6
20-Apr-82,719.1,406.2
21-Apr-82,720.2,406.55
22-Apr-82,718,404.7
23-Apr-82,720.5,406.8
26-Apr-82,739.1,418.3
27-Apr-82,716.9,403.65
28-Apr-82,721.2,405
29-Apr-82,701.5,393.3
30-Apr-82,706,394.5
03-May-82,***,***
04-May-82,689.8,381.95
05-May-82,682,378.7
06-May-82,680,373.1
07-May-82,686,375.5
10-May-82,669.7,364.65
11-May-82,667.6,364.3
12-May-82,669,363.5
13-May-82,665,362.2
14-May-82,665,366.2
17-May-82,676,370.1
18-May-82,669.3,371
19-May-82,676,375.4
20-May-82,671,377.2
21-May-82,670,373.6
24-May-82,656.8,363.15
25-May-82,648.6,358.95
26-May-82,659.8,366.35
27-May-82,639.5,355.65
28-May-82,635.6,354.7
01-Jun-82,609.6,341.9
02-Jun-82,597,334.9
03-Jun-82,606.5,338.45
04-Jun-82,592.4,329.65
07-Jun-82,592,331.2
08-Jun-82,608.5,339.8
09-Jun-82,591.8,333.8
10-Jun-82,588.2,331.4
11-Jun-82,594.7,334.85
14-Jun-82,581.5,328.85
15-Jun-82,551,312.75
16-Jun-82,544.5,310.15
17-Jun-82,531.8,304.25
18-Jun-82,514,296.25
21-Jun-82,490.1,285.1
22-Jun-82,500.6,287.8
23-Jun-82,504.5,292.4
24-Jun-82,522.5,300.65
25-Jun-82,512.3,297.3
28-Jun-82,510,297.45
29-Jun-82,536,310.3
30-Jun-82,573,330.05
01-Jul-82,571.2,328.95
02-Jul-82,587.5,338.1
05-Jul-82,596.5,343.9
06-Jul-82,586,339.8
07-Jul-82,553.1,323.75
08-Jul-82,573.5,335.1
09-Jul-82,623.7,362
12-Jul-82,630.6,363.45
13-Jul-82,624,360.4
14-Jul-82,662,384
15-Jul-82,648.2,375.9
16-Jul-82,638.5,371.75
19-Jul-82,655.2,376
20-Jul-82,641.5,369
21-Jul-82,704.8,404.35
22-Jul-82,696.5,398.8
23-Jul-82,714.5,405.4
26-Jul-82,712,404.5
27-Jul-82,721,410.95
28-Jul-82,699,400.6
29-Jul-82,670,385.5
30-Jul-82,663.5,381.3
02-Aug-82,688.8,392.95
03-Aug-82,708.5,403.95
04-Aug-82,681,392.85
05-Aug-82,693.5,401.8
06-Aug-82,682,399
09-Aug-82,657.5,387.8
10-Aug-82,648.8,379.4
11-Aug-82,624,367.9
12-Aug-82,624.7,368.1
13-Aug-82,638.2,373
16-Aug-82,628,369.85
17-Aug-82,634.2,372.7
18-Aug-82,696,401.85
19-Aug-82,696.2,403.95
20-Aug-82,745.2,427.65
23-Aug-82,785,451.3
24-Aug-82,815.3,464.55
25-Aug-82,785.8,444.6
26-Aug-82,807,459.05
27-Aug-82,825,473.05
30-Aug-82,***,***
31-Aug-82,773,450.2
01-Sep-82,769,448
02-Sep-82,774,444.7
03-Sep-82,880,506.9
06-Sep-82,915,530.3
07-Sep-82,945.3,545.15
08-Sep-82,888,515.1
09-Sep-82,932.9,541.6
10-Sep-82,875.2,510.6
13-Sep-82,878,514.95
14-Sep-82,895.3,523.7
15-Sep-82,887.7,517.5
16-Sep-82,916,536.6
17-Sep-82,898,525.45
20-Sep-82,868,506.3
21-Sep-82,871.3,509.1
22-Sep-82,910.1,530.65
23-Sep-82,889,519.45
24-Sep-82,891.1,521.6
27-Sep-82,848.5,499
28-Sep-82,826.25,487.3
29-Sep-82,844,497.35
30-Sep-82,819.3,483.8
01-Oct-82,823.2,485.4
04-Oct-82,812.8,482.5
05-Oct-82,797.5,473.45
06-Oct-82,822.4,486.5
07-Oct-82,846.8,499.75
08-Oct-82,890.5,520.75
11-Oct-82,910,529.3
12-Oct-82,944,549
13-Oct-82,936.5,546.2
14-Oct-82,980.2,573.4
15-Oct-82,973,571.2
18-Oct-82,958.2,560.5
19-Oct-82,1024,599.9
20-Oct-82,991.5,583.75
21-Oct-82,1046.3,616.9
22-Oct-82,1026,603.9
25-Oct-82,1007.2,597.9
26-Oct-82,995,590.05
27-Oct-82,990,586.3
28-Oct-82,976,580.95
29-Oct-82,987,589.6
01-Nov-82,1018,606.5
02-Nov-82,1035,614.6
03-Nov-82,1045,621.45
04-Nov-82,1058,634.2
05-Nov-82,1058.2,634.4
08-Nov-82,1022.5,616.9
09-Nov-82,1014.2,612.45
10-Nov-82,1017.5,611.4
11-Nov-82,976,590.1
12-Nov-82,937,566.65
15-Nov-82,935.1,573.5
16-Nov-82,948,583.55
17-Nov-82,973,609.65
18-Nov-82,958.8,599.25
19-Nov-82,983,608.3
22-Nov-82,963,604.7
23-Nov-82,930,584.15
24-Nov-82,901.4,565.7
25-Nov-82,923,581.25
26-Nov-82,921.7,576.4
29-Nov-82,953.2,593.1
30-Nov-82,954,590.9
01-Dec-82,1014,621.15
02-Dec-82,1013.1,623.05
03-Dec-82,1042.5,636.65
06-Dec-82,1036.5,635.7
07-Dec-82,1106,678.3
08-Dec-82,1078.2,659.85
09-Dec-82,1045.2,645.4
10-Dec-82,1043.5,645.9
13-Dec-82,1030,641.95
14-Dec-82,1082.2,668.85
15-Dec-82,1031.8,638.7
16-Dec-82,1050,648.15
17-Dec-82,1030,634.6
20-Dec-82,1037.6,645.1
21-Dec-82,1049,650.35
22-Dec-82,1071,664.2
23-Dec-82,1062.8,660.1
24-Dec-82,1075,668.55
27-Dec-82,***,***
28-Dec-82,***,***
29-Dec-82,1111,685.15
30-Dec-82,1105.5,681.55
31-Dec-82,1087,673.05





1983,DAILY,SILVER
 ,US¢,GBP

03-Jan-83,***,***
04-Jan-83,1106.5,680.3
05-Jan-83,1109.9,684.35
06-Jan-83,1129.1,701.95
07-Jan-83,1123,701.45
10-Jan-83,1202,750.55
11-Jan-83,1222.2,777.75
12-Jan-83,1209.5,765.75
13-Jan-83,1243.5,790.15
14-Jan-83,1230,780.45
17-Jan-83,1297.3,816.4
18-Jan-83,1269,804.2
19-Jan-83,1310.8,834.65
20-Jan-83,1279.8,815.15
21-Jan-83,1283,813.55
24-Jan-83,1220,791.45
25-Jan-83,1277.3,831.3
26-Jan-83,1299,838.9
27-Jan-83,1317.2,858.4
28-Jan-83,1335,868.3
31-Jan-83,1382,902.1
01-Feb-83,1430.2,940
02-Feb-83,1371.5,902.3
03-Feb-83,1436,942.75
04-Feb-83,1415.2,933.4
07-Feb-83,1369,899.75
08-Feb-83,1410,914.1
09-Feb-83,1383,894.55
10-Feb-83,1390,903.8
11-Feb-83,1426.2,921.9
14-Feb-83,1417.2,922.95
15-Feb-83,1466.8,947.55
16-Feb-83,1460.2,948.65
17-Feb-83,1466.3,947.4
18-Feb-83,1445,935.3
21-Feb-83,1446,939.45
22-Feb-83,1440.7,943
23-Feb-83,1330.5,878.8
24-Feb-83,1353.5,889.1
25-Feb-83,1325.5,868.6
28-Feb-83,1170,768.2
01-Mar-83,1068,708.2
02-Mar-83,1099.7,730.2
03-Mar-83,1094.2,725.1
04-Mar-83,1059.6,699.65
07-Mar-83,1047.8,691.6
08-Mar-83,1059.8,702.8
09-Mar-83,1060,704.1
10-Mar-83,1098,726.65
11-Mar-83,1087,723
14-Mar-83,1094.3,726.15
15-Mar-83,1125,743.3
16-Mar-83,1083,718.15
17-Mar-83,1064.2,706.85
18-Mar-83,1061.5,710.5
21-Mar-83,1024,691.9
22-Mar-83,1060,718.95
23-Mar-83,1023.5,700.55
24-Mar-83,1057.5,722.5
25-Mar-83,1039,712.6
28-Mar-83,1031.2,708
29-Mar-83,1037.5,712.8
30-Mar-83,1065.2,730.85
31-Mar-83,1050,708
01-Apr-83,***,***
04-Apr-83,***,***
05-Apr-83,1097.5,731.2
06-Apr-83,1118,740.4
07-Apr-83,1114.2,736.55
08-Apr-83,1102,733
11-Apr-83,1111.1,729.05
12-Apr-83,1135,740.15
13-Apr-83,1122.1,727
14-Apr-83,1163.8,758.65
15-Apr-83,1174.8,761.85
18-Apr-83,1229.5,789.15
19-Apr-83,1226.4,784.9
20-Apr-83,1191,765.65
21-Apr-83,1242.2,805.3
22-Apr-83,1201.9,776
25-Apr-83,1227.2,785.9
26-Apr-83,1219.8,776.7
27-Apr-83,1231,784.85
28-Apr-83,1180.5,755.6
29-Apr-83,1195.7,766.25
02-May-83,***,***
03-May-83,1211.7,767.15
04-May-83,1234.8,780.2
05-May-83,1244.2,789.7
06-May-83,1240.2,785.95
09-May-83,1261,797.85
10-May-83,1288.3,823.2
11-May-83,1316.5,839.05
12-May-83,1290,821.15
13-May-83,1290,823.65
16-May-83,1296.6,829.3
17-May-83,1296.4,834.55
18-May-83,1336,855.35
19-May-83,1341,862.65
20-May-83,1329,853.85
23-May-83,1272.9,819.2
24-May-83,1324,843.05
25-May-83,1327.5,840.3
26-May-83,1335.2,836.2
27-May-83,1322.5,824.75
30-May-83,***,***
31-May-83,1354.5,841.55
01-Jun-83,1274.5,799.3
02-Jun-83,1225,770.95
03-Jun-83,1219.5,779.5
06-Jun-83,1172.5,739.75
07-Jun-83,1109,706.6
08-Jun-83,1110,705.4
09-Jun-83,1125,711.35
10-Jun-83,1173.3,742.5
13-Jun-83,1172.8,752.05
14-Jun-83,1171.2,761.1
15-Jun-83,1139.8,751.85
16-Jun-83,1155,756.4
17-Jun-83,1172,766.4
20-Jun-83,1156,753.8
21-Jun-83,1174,765.3
22-Jun-83,1215.7,795.25
23-Jun-83,1210,787.5
24-Jun-83,1230.5,795.5
27-Jun-83,1226.2,792.9
28-Jun-83,1158.8,760.35
29-Jun-83,1163,759.4
30-Jun-83,1159.8,757.55
01-Jul-83,1156.5,753.4
04-Jul-83,1164.5,760.6
05-Jul-83,1148,750.3
06-Jul-83,1142,743
07-Jul-83,1161,749.65
08-Jul-83,1203.3,780.85
11-Jul-83,1208,786.85
12-Jul-83,1238.2,807.95
13-Jul-83,1215,795.4
14-Jul-83,1219,796.2
15-Jul-83,1196.8,787.6
18-Jul-83,1195,784.1
19-Jul-83,1213.3,796.9
20-Jul-83,1225.8,805.65
21-Jul-83,1254.7,820.4
22-Jul-83,1228,805.8
25-Jul-83,1210.5,797.45
26-Jul-83,1243.1,814.35
27-Jul-83,1236,808.9
28-Jul-83,1235,808.15
29-Jul-83,1214.5,797.95
01-Aug-83,1180.5,779.7
02-Aug-83,1187,785.05
03-Aug-83,1184.5,786.8
04-Aug-83,1193,802.3
05-Aug-83,1158.5,782.75
08-Aug-83,1157.5,779.7
09-Aug-83,1162.3,778.25
10-Aug-83,1148,772.55
11-Aug-83,1163,785.8
12-Aug-83,1172.4,792.15
15-Aug-83,1200.5,805.05
16-Aug-83,1242,826.6
17-Aug-83,1248,826.85
18-Aug-83,1244.7,817.55
19-Aug-83,1222.2,804.45
22-Aug-83,1238,811.5
23-Aug-83,1276.7,831.7
24-Aug-83,1252.5,823.45
25-Aug-83,1250.7,827.2
26-Aug-83,1221,810.2
29-Aug-83,***,***
30-Aug-83,1226.8,818.4
31-Aug-83,1199,803.35
01-Sep-83,1216,809.85
02-Sep-83,1219,815.95
05-Sep-83,1234,822.1
06-Sep-83,1238,825.6
07-Sep-83,1214.8,813.1
08-Sep-83,1217.5,815.6
09-Sep-83,1224.5,819.6
12-Sep-83,1227,815.6
13-Sep-83,1185,792.4
14-Sep-83,1174.5,787.2
15-Sep-83,1163,778.95
16-Sep-83,1168.2,779.05
19-Sep-83,1194.1,795.25
20-Sep-83,1187.5,785.8
21-Sep-83,1187.7,788.5
22-Sep-83,1178.5,783.75
23-Sep-83,1194,796.25
26-Sep-83,1207.5,803.1
27-Sep-83,1187.5,793
28-Sep-83,1190.5,794.2
29-Sep-83,1171.2,781.3
30-Sep-83,1124,751.1
03-Oct-83,1040,698.2
04-Oct-83,1042.2,706.6
05-Oct-83,974,655.35
06-Oct-83,1035,694.15
07-Oct-83,1032.3,687.95
10-Oct-83,1043.4,688
11-Oct-83,1056.2,698.1
12-Oct-83,1020.2,681.05
13-Oct-83,1025.3,681.4
14-Oct-83,1043.2,698
17-Oct-83,1040,691.95
18-Oct-83,1011.5,674.2
19-Oct-83,990,661.55
20-Oct-83,951,634.85
21-Oct-83,952.7,634.5
24-Oct-83,962,642.2
25-Oct-83,958,639.1
26-Oct-83,948.2,633.2
27-Oct-83,858.8,575.8
28-Oct-83,900.2,602.15
31-Oct-83,874,584.2
01-Nov-83,837,560.25
02-Nov-83,876,589.9
03-Nov-83,869.5,583.75
04-Nov-83,890.5,599.05
07-Nov-83,882,593.95
08-Nov-83,903.3,609.2
09-Nov-83,894.5,602.95
10-Nov-83,901,606.95
11-Nov-83,891.5,599.1
14-Nov-83,895.5,601.2
15-Nov-83,906.3,610.5
16-Nov-83,904,607.95
17-Nov-83,858.5,579.5
18-Nov-83,861,582.05
21-Nov-83,839,571.15
22-Nov-83,861.2,585.25
23-Nov-83,855.2,581.55
24-Nov-83,847.5,577.5
25-Nov-83,855.5,585.85
28-Nov-83,871,596.35
29-Nov-83,902,619.3
30-Nov-83,981,669.85
01-Dec-83,958,655.45
02-Dec-83,973.2,667.25
05-Dec-83,966.8,665.4
06-Dec-83,950.2,657.8
07-Dec-83,956.6,660.8
08-Dec-83,981.1,681.45
09-Dec-83,925,644.4
12-Dec-83,947,660.3
13-Dec-83,938,657.55
14-Dec-83,933.25,660.45
15-Dec-83,928,652.85
16-Dec-83,884.8,624.4
19-Dec-83,864.3,609.1
20-Dec-83,864.5,608.9
21-Dec-83,878.5,618.2
22-Dec-83,874.3,611.6
23-Dec-83,883.5,617.85
26-Dec-83,***,***
27-Dec-83,***,***
28-Dec-83,879.2,612.9
29-Dec-83,880.5,610.6
30-Dec-83,891,614.25




1984,DAILY,SILVER
 ,US¢,GBP

02-Jan-84,***,***
03-Jan-83,896,624.3
04-Jan-84,848,599.9
05-Jan-84,843.6,597
06-Jan-84,841.3,597.75
09-Jan-84,790,565.3
10-Jan-84,811,576.8
11-Jan-84,802,572.25
12-Jan-84,797,570.3
13-Jan-84,809,577.25
16-Jan-84,805.7,571.4
17-Jan-84,801.7,561.2
18-Jan-84,801.3,568.7
19-Jan-84,824.4,581.15
20-Jan-84,829.5,585.2
23-Jan-84,825.8,587.55
24-Jan-84,797.7,569.8
25-Jan-84,807.9,576.85
26-Jan-84,813.2,577.15
27-Jan-84,812.5,578.5
30-Jan-84,828.5,589.05
31-Jan-84,843,600.65
01-Feb-84,870.2,618.7
02-Feb-84,883,622.05
03-Feb-84,887,621.8
06-Feb-84,873.2,614.3
07-Feb-84,863.5,610.7
08-Feb-84,903.3,637
09-Feb-84,905,635.55
10-Feb-84,873.2,616.65
13-Feb-84,870.2,613.45
14-Feb-84,864.5,609.85
15-Feb-84,900.7,627.45
16-Feb-84,915.3,633.65
17-Feb-84,904,625.45
20-Feb-84,913.3,631.6
21-Feb-84,926,639.3
22-Feb-84,942.2,650.45
23-Feb-84,975,666.3
24-Feb-84,962.4,655.6
27-Feb-84,952.5,648.4
28-Feb-84,986.5,660.75
29-Feb-84,964,647.4
01-Mar-84,962.5,647.05
02-Mar-84,966.7,652.65
05-Mar-84,1011,679.7
06-Mar-84,1003.5,676.45
07-Mar-84,993.3,669.35
08-Mar-84,966,657.6
09-Mar-84,987.2,675.7
12-Mar-84,969.2,668.8
13-Mar-84,974.9,667.3
14-Mar-84,987.2,668.6
15-Mar-84,941.8,646.15
16-Mar-84,942.7,649.7
19-Mar-84,946,655.35
20-Mar-84,953.4,662.75
21-Mar-84,955.5,668.65
22-Mar-84,952.5,665.85
23-Mar-84,939,657.1
26-Mar-84,939.5,651.05
27-Mar-84,949.7,655.65
28-Mar-84,942,651.75
29-Mar-84,980.5,674.8
30-Mar-84,965,670.15
02-Apr-84,974.2,676.3
03-Apr-84,935.5,655.8
04-Apr-84,936,654.8
05-Apr-84,937,652.5
06-Apr-84,910.5,640.4
09-Apr-84,919,641.55
10-Apr-84,916.2,641.35
11-Apr-84,929.2,647.75
12-Apr-84,924,643.9
13-Apr-84,913,637.8
16-Apr-84,914.5,642.2
17-Apr-84,917.5,644.75
18-Apr-84,920.7,647.9
19-Apr-84,932.5,656.45
24-Apr-84,934.8,660.65
25-Apr-84,924.5,655.19
26-Apr-84,922,652.95
27-Apr-84,909.2,648.05
30-Apr-84,896.2,641.95
01-May-84,892.8,639.1
02-May-84,896,640.7
03-May-84,905.2,645.4
04-May-84,904.8,640.8
08-May-84,858.5,618.05
09-May-84,865,625.65
10-May-84,860.5,623.55
11-May-84,875,632.45
14-May-84,883,637.55
15-May-84,883.5,637.9
16-May-84,894,640.4
17-May-84,906,648.75
18-May-84,889.5,641.65
21-May-84,915.2,657.45
22-May-84,908.8,653.7
23-May-84,910.5,656.2
24-May-84,892,648.5
25-May-84,916,661.35
29-May-84,920.2,665.65
30-May-84,916,662.3
31-May-84,912,658.25
01-Jun-84,936.3,672.6
04-Jun-84,937.5,667
05-Jun-84,934.7,668.1
06-Jun-84,930.2,666.1
07-Jun-84,922.5,658.45
08-Jun-84,912.1,652.9
11-Jun-84,900.8,644.95
12-Jun-84,867.3,626
13-Jun-84,870.5,627.85
14-Jun-84,869.5,626.65
15-Jun-84,865,626.6
18-Jun-84,844,612.25
19-Jun-84,856.5,623.15
20-Jun-84,856.8,622.45
21-Jun-84,848,622.4
22-Jun-84,864.7,634.5
25-Jun-84,852.2,630
26-Jun-84,836.5,618
27-Jun-84,835.5,616.35
28-Jun-84,836,621.7
29-Jun-84,839.2,620.5
02-Jul-84,829.5,615.6
03-Jul-84,821,612
04-Jul-84,815.6,609.55
05-Jul-84,780.8,589.95
06-Jul-84,760,573.6
09-Jul-84,724.4,553.2
10-Jul-84,754,575.15
11-Jul-84,719.9,552.05
12-Jul-84,726.2,555.4
13-Jul-84,738,560.8
