1981,DAILY,SILVER
 ,US¢,GBP

01-Jan-81,***,***
02-Jan-81,***,***
05-Jan-81,1580,657.8
06-Jan-81,1630.3,671.2
07-Jan-81,1580,652.7
08-Jan-81,1540,641.15
09-Jan-81,1563,650.45
12-Jan-81,1481.9,617.7
13-Jan-81,1496.2,626.55
14-Jan-81,1500,626.95
15-Jan-81,1514.8,631.7
16-Jan-81,1490,621.1
19-Jan-81,1485.9,614.85
20-Jan-81,1497,620.65
21-Jan-81,1535.3,632.85
22-Jan-81,1496,618.8
23-Jan-81,1421,590.6
26-Jan-81,1340,556.4
27-Jan-81,1352.5,559.1
28-Jan-81,1347.5,559.8
29-Jan-81,1305,542.95
30-Jan-81,1315,551.95
02-Feb-81,1285.5,546.1
03-Feb-81,1247,532.7
04-Feb-81,1333,566.75
05-Feb-81,1320.2,560
06-Feb-81,1335,571.35
09-Feb-81,1390,594.8
10-Feb-81,1386.5,592.65
11-Feb-81,1334.8,571.15
12-Feb-81,1301,560.2
13-Feb-81,1268.5,551.4
16-Feb-81,1272.9,565.25
17-Feb-81,1330.1,585.3
18-Feb-81,1316.9,579.5
19-Feb-81,1299,571
20-Feb-81,1324.9,572.8
23-Feb-81,1300,573.2
24-Feb-81,1301.9,580.15
25-Feb-81,1300,582.8
26-Feb-81,1261,566.6
27-Feb-81,1253,570.6
02-Mar-81,1160,532.85
03-Mar-81,1157,530.25
04-Mar-81,1197,540.8
05-Mar-81,1126,512.05
06-Mar-81,1155,528.1
09-Mar-81,1180.3,539.05
10-Mar-81,1213.5,548.6
11-Mar-81,1175,529.5
12-Mar-81,1174,528.7
13-Mar-81,1214.3,548.1
16-Mar-81,1247,558.45
17-Mar-81,1242,550.65
18-Mar-81,1285.5,565.8
19-Mar-81,1298,569.9
20-Mar-81,1290.1,568.8
23-Mar-81,1331.2,592.9
24-Mar-81,1270,562.55
25-Mar-81,1308,577.85
26-Mar-81,1288.5,571.3
27-Mar-81,1315,589.3
30-Mar-81,1252.6,559.2
31-Mar-81,1233,549.05
01-Apr-81,1203,536.95
02-Apr-81,1220,545.6
03-Apr-81,1218,551.4
06-Apr-81,1233,567.7
07-Apr-81,1196,549.4
08-Apr-81,1196,542.3
09-Apr-81,1161.5,529.65
10-Apr-81,1140,521.2
13-Apr-81,1095,506.5
14-Apr-81,1128,519.1
15-Apr-81,1122,519.45
16-Apr-81,1111,515.55
17-Apr-81,***,***
20-Apr-81,***,***
21-Apr-81,1113,515.65
22-Apr-81,1155,531.65
23-Apr-81,1135,520.4
24-Apr-81,1139.5,525.5
27-Apr-81,1123.1,517.8
28-Apr-81,1117.9,518.5
29-Apr-81,1103.1,515.1
30-Apr-81,1106.5,516.55
01-May-81,1113,520
04-May-81,***,***
05-May-81,1088,514.6
