1981,GOLD, A.M.,GOLD, P.M.
 ,USD,GBP,USD,GBP
,,,,
01-Jan-81,***,***,***,***
02-Jan-81,***,***,***,***
05-Jan-81,592,246.872,597.5,248.08
06-Jan-81,599.25,246.503,599.25,247.399
07-Jan-81,588.75,243.134,585,241.935
08-Jan-81,573.75,238.565,574.75,238.932
09-Jan-81,579.75,241.331,577.75,240.529
12-Jan-81,564.25,234.372,562,233.874
13-Jan-81,566,236.919,562.75,235.559
14-Jan-81,561.5,234.32,556.5,232.233
15-Jan-81,566.75,236.018,571.5,237.63
16-Jan-81,562.75,234.969,560.75,233.938
19-Jan-81,558.75,231.175,566.75,234.922
20-Jan-81,563.5,233.527,562,232.712
21-Jan-81,576,237.232,578,238.134
22-Jan-81,567,234.298,564,233.395
23-Jan-81,552,229.283,553,229.365
26-Jan-81,530.25,220.066,528.5,219.386
27-Jan-81,517,214.274,524,216.887
28-Jan-81,524.5,217.77,523.5,217.491
29-Jan-81,505,209.936,493.75,205.729
30-Jan-81,507.5,212.699,506.5,213.129
02-Feb-81,493.25,208.342,493.5,210.089
03-Feb-81,482,206.203,486.25,208.155
04-Feb-81,504.25,214.757,505,214.483
05-Feb-81,497,211.895,498.5,212.625
06-Feb-81,506.5,217.009,500.5,214.623
09-Feb-81,515,220.18,512.5,219.298
10-Feb-81,517.75,221.213,519.5,222.294
11-Feb-81,505,215.997,501,214.589
12-Feb-81,493.5,212.076,490.25,211.406
13-Feb-81,492.5,214.084,491.5,214.535
16-Feb-81,487,216.3,490.25,217.309
17-Feb-81,498.5,220.429,500.75,220.935
18-Feb-81,502,221.487,505,221.54
19-Feb-81,505.5,222.276,503.25,221.063
20-Feb-81,514.75,222.643,511.5,219.528
23-Feb-81,506.5,223.226,501.5,222.001
24-Feb-81,503.75,224.038,503,224.905
25-Feb-81,505.75,226.692,500.5,224.611
26-Feb-81,495.25,222.614,492,220.727
27-Feb-81,490.25,222.064,489,222.071
02-Mar-81,474.5,217.84,465.5,213.63
03-Mar-81,466.25,213.709,471,214.872
04-Mar-81,475.75,214.669,465.5,211.735
05-Mar-81,457,207.426,461.5,209.392
06-Mar-81,462,210.766,467,212.776
09-Mar-81,473.25,216.343,474.25,214.399
10-Mar-81,484.5,218.983,487.25,218.498
11-Mar-81,475.5,213.516,476.25,214.238
12-Mar-81,477.5,215.352,478,215.461
13-Mar-81,492,221.522,492,221.572
16-Mar-81,499.25,224.291,499.75,223.053
17-Mar-81,498.25,221.494,493.25,219.105
18-Mar-81,510.25,224.434,506,222.937
19-Mar-81,512.75,225.633,510,223.439
20-Mar-81,509.5,224.598,516.75,227.894
23-Mar-81,535.75,238.641,526,233.57
24-Mar-81,531,235.247,536.25,236.734
25-Mar-81,533.25,235.379,528,233.628
26-Mar-81,534,236.283,539.5,238.664
27-Mar-81,547.25,244.199,538.75,241.43
30-Mar-81,529.5,236.542,526.5,235.412
31-Mar-81,514.25,229.146,513.75,228.974
01-Apr-81,516.75,230.486,514.25,229.422
02-Apr-81,517,230.938,519.5,232.262
03-Apr-81,523.5,236.45,523,237.511
06-Apr-81,534.25,245.181,533.75,245.042
07-Apr-81,517,237.156,514.25,235.462
08-Apr-81,508,230.365,508.5,229.654
09-Apr-81,512,233.204,503,229.471
10-Apr-81,491,224.099,493.5,226.065
13-Apr-81,475.5,220.343,473.75,219.379
14-Apr-81,483,222.222,483,221.865
15-Apr-81,480.25,221.62,476.25,220.028
16-Apr-81,481.5,223.299,482.5,224.21
17-Apr-81,***,***,***,***
20-Apr-81,***,***,***,***
21-Apr-81,481,222.892,481,222.171
22-Apr-81,497,228.79,501,229.817
23-Apr-81,490.5,224.773,488.5,223.98
24-Apr-81,491.75,226.509,494.5,227.618
27-Apr-81,488.75,225.23,483,223.043
28-Apr-81,484.25,224.533,482.75,224.118
29-Apr-81,478.5,223.233,477.25,222.442
30-Apr-81,481,224.798,482.75,224.901
01-May-81,484.75,226.254,487.5,227.273
04-May-81,***,***,***,***
05-May-81,476.75,225.627,476.25,225.39
06-May-81,482.75,227.852,482,227.412
07-May-81,479.25,226.757,477.75,226.529
08-May-81,481.75,228.48,485.75,229.506
11-May-81,501,237.328,493,233.926
12-May-81,487,232.514,484,231.247
13-May-81,486.5,232.053,484.25,232.366
14-May-81,480.75,232.336,476.5,230.082
15-May-81,482.5,232.228,485,233.061
18-May-81,481.75,230.613,481.75,229.623
19-May-81,483.25,230.8,481.5,230.57
20-May-81,478.25,229.707,479.75,229.953
21-May-81,480,229.995,475,228.971
22-May-81,472.75,228.106,472.75,227.941
25-May-81,***,***,***,***
26-May-81,468.5,226.296,466.5,225.526
27-May-81,467.75,226.623,466.75,226.743
28-May-81,472,228.406,479,231.401
29-May-81,478.75,230.834,479.25,231.187
01-Jun-81,481.25,232.264,483.25,234.496
02-Jun-81,473.5,231.937,474,232.729
03-Jun-81,474,234.19,475.5,235.746
04-Jun-81,463.75,237.638,462.5,236.755
05-Jun-81,460.25,237.61,460,240.334
08-Jun-81,460,238.219,473.5,243.633
09-Jun-81,463,238.783,460.5,236.883
10-Jun-81,463.25,235.751,465.25,236.684
11-Jun-81,464.25,238.199,464.25,238.016
12-Jun-81,467,239.119,472,240.816
15-Jun-81,472.25,238.414,471.75,236.229
16-Jun-81,466.75,233.084,461.5,230.347
17-Jun-81,463.25,231.301,461.75,230.875
18-Jun-81,460.25,231.689,459,232.405
19-Jun-81,457.75,233.058,458.25,233.087
22-Jun-81,462,232.746,462,233.121
23-Jun-81,465,232.21,466.5,232.587
24-Jun-81,462.25,232.263,462,232.687
25-Jun-81,454.5,230.535,446.5,228.33
26-Jun-81,443.75,228.502,442,226.725
29-Jun-81,431.5,220.852,428.75,219.962
30-Jun-81,421.5,216.554,426,219.249
01-Jul-81,421.25,220.665,422,221.174
02-Jul-81,410,217.046,414.5,218.849
03-Jul-81,413.75,218.165,414,217.952
06-Jul-81,403.5,213.492,403.75,213.817
07-Jul-81,403.5,210.485,405,212.822
08-Jul-81,400,211.249,397.75,210.227
09-Jul-81,406,214.963,406.25,215.976
10-Jul-81,415.25,218.841,416.5,219.153
13-Jul-81,417.75,219.868,413,217.827
14-Jul-81,403.25,217.151,402.25,215.568
15-Jul-81,408,217.171,412.25,218.956
16-Jul-81,417.25,221.706,418.25,222.001
17-Jul-81,414.5,220.89,415,220.944
20-Jul-81,414.75,221.377,412.5,220.47
21-Jul-81,408,220.481,406,220.413
22-Jul-81,409.25,221.216,411.5,221.356
23-Jul-81,410.5,219.871,407.75,219.657
24-Jul-81,407.5,219.795,407.5,218.851
27-Jul-81,409.75,218.3,408.75,217.768
28-Jul-81,403,216.725,401.5,215.513
29-Jul-81,***,***,***,***
30-Jul-81,402.25,217.315,402.25,217.526
31-Jul-81,405.25,217.9,406,219.104
03-Aug-81,392.5,215.517,392.5,216.194
04-Aug-81,391.75,216.556,391.25,216.483
05-Aug-81,392.6,216.966,392.4,217.336
