1981,GOLD, A.M.,GOLD, P.M.
06-Aug-81,395,218.776,393.25,218.922
07-Aug-81,399,222.631,397.25,222.176
10-Aug-81,393.2,222.272,393.75,223.278
11-Aug-81,396.5,223.91,401,226.324
12-Aug-81,408.5,228.698,417.5,227.955
13-Aug-81,407.5,225.95,407.25,225.623
14-Aug-81,411.5,229.21,413,228.619
17-Aug-81,409.5,226.908,411.5,225.541
18-Aug-81,422.5,228.132,420,229.446
19-Aug-81,433.5,235.214,431.5,235.921
20-Aug-81,430.5,232.201,429,230.274
21-Aug-81,428.5,229.82,429.5,229.128
24-Aug-81,428.5,228.57,422,225.127
25-Aug-81,410.5,224.44,409.75,224.336
26-Aug-81,413,225.375,414,225.343
27-Aug-81,414.75,225.322,411.75,223.656
28-Aug-81,425.5,231.376,425,230.228
01-Sep-81,422.5,230.597,421.5,229.951
02-Sep-81,431.5,234.091,430,233.379
03-Sep-81,435.25,235.398,436.5,236.214
04-Sep-81,440.25,238.398,439.5,237.889
07-Sep-81,437.25,240.313,436.5,239.401
08-Sep-81,434.25,240.582,439,243.753
09-Sep-81,436.25,243.919,436.75,244.609
10-Sep-81,448,250.419,451.5,251.532
11-Sep-81,447.75,249.235,448.25,250.91
14-Sep-81,456,256.036,451.25,252.801
15-Sep-81,455.25,251.062,456,248.84
16-Sep-81,449.75,243.24,449,244.287
17-Sep-81,456,246.353,459,247.573
18-Sep-81,446.75,243.46,447,243.464
21-Sep-81,459.25,249.457,463.5,250.473
22-Sep-81,460.25,250.517,462,250.814
23-Sep-81,458,249.905,456.5,249.59
24-Sep-81,450.5,251.003,446.25,250.702
25-Sep-81,451.75,252.304,450.5,250.835
28-Sep-81,427.5,242.072,421.5,236.598
29-Sep-81,432.5,240.118,431.75,240.328
30-Sep-81,426.5,237.208,428.75,236.878
01-Oct-81,435.25,237.582,436.75,238.271
02-Oct-81,433.25,236.555,435,237.445
05-Oct-81,440.75,240.322,441.25,238.578
06-Oct-81,434.95,234.285,443,240.369
07-Oct-81,445,239.415,445.5,239.259
08-Oct-81,441.75,235.474,443.25,233.967
09-Oct-81,452.25,236.1,453.5,238.12
12-Oct-81,451.6,238.879,449.5,239.478
13-Oct-81,443.9,237.761,443.25,237.477
14-Oct-81,445.25,239.639,444.25,239.876
15-Oct-81,446.85,240.048,446.65,240.005
16-Oct-81,441.25,239.458,443.75,242.089
19-Oct-81,440.75,239.278,436.7,237.466
20-Oct-81,437.2,238.126,437.3,238.831
21-Oct-81,433.3,236.131,429,235.52
22-Oct-81,434.6,238.372,433.75,238.783
23-Oct-81,433.5,237.704,432.5,237.311
26-Oct-81,428,236.399,426,235.88
27-Oct-81,426.8,235.346,427.4,235.742
28-Oct-81,431.5,237.479,430.8,236.833
29-Oct-81,422.25,232.069,424.5,231.398
30-Oct-81,429,232.52,427,231.248
02-Nov-81,431,229.965,430,229.395
03-Nov-81,427.75,228.988,428.25,228.644
04-Nov-81,431,229.255,431.25,229.51
05-Nov-81,428.9,228.272,428.5,228.01
06-Nov-81,427.75,228.316,428.25,228.035
09-Nov-81,430.1,227.086,429.75,226.781
10-Nov-81,422.75,224.33,418.5,223.152
11-Nov-81,412.75,220.368,412,219.149
12-Nov-81,412.25,218.526,411.5,217.875
13-Nov-81,414,217.152,412.5,215.517
16-Nov-81,408.25,211.913,404.25,210.328
17-Nov-81,395.75,207.743,398.75,210.145
18-Nov-81,400.75,211.422,403.75,212.277
19-Nov-81,401,208.42,401,209.29
20-Nov-81,401,210.146,401.5,211.038
23-Nov-81,396,208.971,396.75,207.614
24-Nov-81,398,208.595,399.25,208.922
25-Nov-81,406,211.019,409.5,211.628
26-Nov-81,409.75,211.32,409.5,211.246
27-Nov-81,411.25,211.114,411.5,211.026
30-Nov-81,415.5,211.698,414.5,211.318
01-Dec-81,405,207.246,402.5,206.199
02-Dec-81,405.25,207.661,406.75,208.858
03-Dec-81,419,215.568,416.5,215.446
04-Dec-81,423.5,217.035,426,218.126
07-Dec-81,417.25,214.007,416.75,213.861
08-Dec-81,417.25,215.244,415.25,215.49
09-Dec-81,408.25,212.133,410.25,213.006
10-Dec-81,407,213.536,405.5,213.759
11-Dec-81,409,216.173,409.75,217.721
14-Dec-81,419.25,223.839,417.5,224.583
15-Dec-81,413.25,220.142,413.25,219.58
16-Dec-81,418,221.106,416.75,220.153
17-Dec-81,418,220.464,416.25,220.296
18-Dec-81,415.25,220.76,415.75,221.792
21-Dec-81,413.75,219.729,410.5,218.003
22-Dec-81,403.75,214.077,399.6,211.877
23-Dec-81,402.25,212.213,400.4,211.46
24-Dec-81,404,213.57,***,***
28-Dec-81,***,***,***,***
29-Dec-81,396.25,209.324,395,208.995
30-Dec-81,397.25,208.804,397.5,208.826
31-Dec-81,400,208.746,***,***
,,,,
,,,,
,,,,
1982,GOLD, A.M.,GOLD, P.M.
 ,USD,GBP,USD,GBP
,,,,
01-Jan-82,***,***,***,***
04-Jan-82,399,206.148,395,204.716
05-Jan-82,400.75,208.757,403.5,210.408
06-Jan-82,402,208.506,401.5,208.68
07-Jan-82,396.25,206.941,396.5,208.963
08-Jan-82,397.75,207.594,400.25,208.03
11-Jan-82,392,206.131,388.25,204.806
12-Jan-82,389.25,207.379,389,206.805
13-Jan-82,387,206.07,380,202.311
14-Jan-82,371,199.248,374.75,201.695
15-Jan-82,377.25,201.868,379.25,202.429
18-Jan-82,369.75,198.013,373.75,199.28
19-Jan-82,377.25,199.077,375.25,197.812
20-Jan-82,371.75,197.006,371.5,197.114
21-Jan-82,375.25,198.703,376,199.153
22-Jan-82,377.75,201.704,377.25,201.232
25-Jan-82,373.5,201.077,372,200.89
26-Jan-82,373.5,201.348,376.5,202.55
27-Jan-82,382.5,203.728,381.75,203.6
28-Jan-82,381.5,204.087,383.5,204.588
29-Jan-82,388.25,206.077,387,205.305
01-Feb-82,381.25,203.583,379.5,203.104
02-Feb-82,376.25,202.94,379.15,203.461
03-Feb-82,378.75,202.779,378,202.899
04-Feb-82,383.75,205.489,383.75,205.874
05-Feb-82,384.5,205.395,384.25,206.586
08-Feb-82,381.5,204.865,379.75,204.002
09-Feb-82,378,204.712,378.5,205.316
10-Feb-82,382.6,206.755,382.15,206.679
11-Feb-82,381.5,205.782,380,205.405
12-Feb-82,379,205.587,377.5,205.442
15-Feb-82,375.55,205.106,375.25,204.965
16-Feb-82,376.25,205.321,375.25,204.999
17-Feb-82,375.5,203.998,374,203.261
18-Feb-82,367.5,199.371,369.25,200.57
19-Feb-82,368.75,198.798,369.25,198.949
22-Feb-82,364,196.068,364.25,196.998
23-Feb-82,360.5,195.584,361,196.463
24-Feb-82,362.75,198.332,362.75,198.332
25-Feb-82,368,200.764,366.45,200.082
26-Feb-82,363.25,199.753,362.6,198.794
01-Mar-82,358.75,197.3,361.25,198.108
02-Mar-82,363,199.232,361.25,198.326
03-Mar-82,357.1,196.123,353.75,194.155
04-Mar-82,347,190.241,346.5,189.707
05-Feb-83,340,184.933,342.4,186.239
08-Mar-82,335.5,183.414,330.5,180.947
09-Mar-82,325.5,179.735,329.25,181.605
10-Mar-82,332.75,183.688,333,183.907
11-Mar-82,334,184.551,331.75,183.085
12-Mar-82,322.5,178.869,323.25,179.613
15-Mar-82,314.25,173.763,312,172.824
16-Mar-82,321,177.25,324.5,179.579
17-Mar-82,314.5,173.824,316,174.586
18-Mar-82,322.4,178.269,320,176.649
19-Mar-82,316.25,175.082,315.75,175.193
22-Mar-82,318.5,176.405,320.8,177.748
23-Mar-82,327,181.294,329.25,182.481
24-Mar-82,333,184.029,331.75,183.237
25-Mar-82,328,181.667,327.75,181.71
26-Mar-82,322.75,180.661,322.25,180.108
29-Mar-82,319.5,179.042,318.5,178.882
30-Mar-82,325.75,182.821,324.25,181.958
31-Mar-82,320.5,180.016,320,179.473
01-Apr-82,325.5,182.373,327,183.07
02-Apr-82,326.6,182.254,327.75,183.101
05-Apr-82,336,189.189,337.5,190.7
06-Apr-82,346.25,196.811,345.5,197.519
07-Apr-82,356.75,202.526,354,200.851
08-Apr-82,352.5,200.969,351.5,199.943
09-Apr-82,***,***,***,***
12-Apr-82,***,***,***,***
13-Apr-82,352.5,199.921,353.5,200.602
14-Apr-82,364.75,206.692,366.75,207.673
15-Apr-82,362.5,206.06,363.25,206.921
16-Apr-82,363.75,206.794,362.75,206.342
19-Apr-82,356.75,202.492,357,202.53
20-Apr-82,345.75,195.339,343,193.567
21-Apr-82,346.6,195.731,346.75,195.572
22-Apr-82,344.75,194.193,345,194.29
23-Apr-82,346.75,195.705,352.25,198.596
26-Apr-82,361,203.782,357,201.127
27-Apr-82,350.75,197.25,351.75,198.091
28-Apr-82,358.5,201.461,354.5,198.433
29-Apr-82,352,197.586,348.75,194.615
30-Apr-82,356.75,198.979,361.25,200.918
03-May-82,***,***,***,***
04-May-82,343.5,190.147,341.75,189.335
05-May-82,341.75,189.493,338.4,187.739
06-May-82,335.25,184.305,334.5,183.519
07-May-82,336.25,184.176,334.75,183.224
10-May-82,329.5,179.593,329,179.194
11-May-82,330,180.18,332.25,181.26
12-May-82,333.5,180.837,331.5,180.212
13-May-82,331.75,180.623,331,181.023
14-May-82,331.75,181.96,333.25,182.653
17-May-82,337.25,184.451,338.5,185.408
18-May-82,337.5,186.981,338,187.05
19-May-82,342.75,189.711,342,189.916
20-May-82,341.5,190.974,342.5,192.308
21-May-82,343.25,191.226,338.5,188.37
24-May-82,331.85,184.054,329,181.969
25-May-82,326,180.34,327.9,181.612
26-May-82,332,184.26,330.25,183.269
27-May-82,324.75,180.597,324.25,180.339
28-May-82,325.5,181.742,325.25,181.602
01-Jun-82,319,178.093,318.75,178.252
02-Jun-82,316.8,177.499,318.5,178.391
03-Jun-82,322,179.537,320.35,178.269
04-Jun-82,318.5,177.339,318.75,177.409
07-Jun-82,322.9,180.492,325.25,181.775
08-Jun-82,330.9,184.778,328.75,184.071
09-Jun-82,326.75,183.826,326,183.435
10-Jun-82,329,185.509,326.75,185.232
11-Jun-82,327,184.329,325.25,183.374
14-Jun-82,322.25,182.444,320.75,181.728
15-Jun-82,315,178.339,315,179.13
16-Jun-82,316.65,179.945,317,180.37
17-Jun-82,313.5,179.245,309,176.854
18-Jun-82,307.5,177.336,308.75,177.188
21-Jun-82,297,172.574,296.75,172.229
22-Jun-82,301.75,173.719,304,174.592
23-Jun-82,300.75,174.449,304,175.317
24-Jun-82,309.75,178.458,310.25,178.325
25-Jun-82,304,176.539,305.5,176.948
28-Jun-82,303.4,176.879,303.75,176.578
29-Jun-82,310.75,179.936,309,179.234
30-Jun-82,314,180.46,317.5,182.157
01-Jul-82,311.75,179.973,310.25,178.922
02-Jul-82,313,180.351,312.75,180.519
05-Jul-82,315.5,181.897,315.25,181.753
06-Jul-82,313.1,181.245,311,180.29
07-Jul-82,307.4,179.956,306.75,179.491
08-Jul-82,310.85,181.486,313.5,183.151
09-Jul-82,322.35,187.576,328.5,190.402
12-Jul-82,338.5,194.988,343,197.297
13-Jul-82,339,195.931,352.5,203.781
14-Jul-82,353.75,204.894,352.75,204.516
15-Jul-82,347.75,201.594,350.25,203.634
16-Jul-82,345.75,200.982,347,201.92
19-Jul-82,350,200.965,347.5,199.426
20-Jul-82,344.25,198.072,347.75,200.375
21-Jul-82,361.5,207.508,366.5,209.848
22-Jul-82,358.25,205.078,353,202.061
23-Jul-82,363.75,206.442,363.25,205.982
26-Jul-82,357,202.668,352.25,199.949
27-Jul-82,351.5,200.068,351.25,200.199
28-Jul-82,345.75,197.29,347,198.456
29-Jul-82,340.5,196.48,342.5,196.839
30-Jul-82,342.5,196.884,342.9,196.843
02-Aug-82,352.125,200.95,351.35,200.599
03-Aug-82,355.5,202.195,349.25,199.15
04-Aug-82,347.6,200.23,346.25,199.798
05-Aug-82,348.25,201.068,346.5,201.629
06-Aug-82,346.125,202.626,344.75,201.49
09-Aug-82,337.75,199.463,336,198.441
10-Aug-82,337.75,197.804,338.25,197.518
11-Aug-82,332.875,196.247,333.5,196.431
12-Aug-82,333.25,196.341,334.75,197.179
13-Aug-82,337.75,197.284,338,197.488
16-Aug-82,337.25,198.149,341.75,200.675
17-Aug-82,338,198.567,337.75,198.094
18-Aug-82,352.1,203.502,357.75,206.613
19-Aug-82,356.25,206.582,356.65,207.186
20-Aug-82,379,217.292,386.5,221.935
23-Aug-82,381.75,219.46,394.5,226.139
24-Aug-82,411.5,234.941,407.75,232.204
25-Aug-82,394.5,223.627,401,226.362
26-Aug-82,417.5,237.594,417,236.328
27-Aug-82,425.25,242.308,418,240.023
30-Aug-82,***,***,***,***
31-Aug-82,409.6,238.556,411.5,239.523
01-Sep-82,404.25,235.508,405.25,234.955
02-Sep-82,408.25,235.615,409.75,236.031
03-Sep-82,454.75,261.125,455,262.142
06-Sep-82,458,265.277,474,274.814
07-Sep-82,488.5,282.044,481,277.794
08-Sep-82,469,272.168,458,266.511
09-Sep-82,477,277.003,466,270.663
10-Sep-82,448.25,261.523,453,263.755
13-Sep-82,440,257.989,439,257.554
14-Sep-82,452,264.173,454.25,265.69
15-Sep-82,444.75,260.057,443.25,258.606
16-Sep-82,447.25,262.04,448.5,263.05
17-Sep-82,445.5,260.831,441.5,257.81
20-Sep-82,426.25,248.542,424.25,247.362
21-Sep-82,426.5,249.167,426.5,249.226
22-Sep-82,441.5,257.254,443.75,258.626
23-Sep-82,437.25,254.823,435.85,254.734
24-Sep-82,438.5,256.658,431,252.49
27-Sep-82,414.25,243.247,413.75,242.982
28-Sep-82,409.65,241.183,410.5,242.069
29-Sep-82,413.15,242.844,409.75,241.171
30-Sep-82,394.75,233.304,397,234.218
01-Oct-82,397.75,234.205,402,236.889
04-Oct-82,392.75,232.92,387.5,229.875
05-Oct-82,387.25,229.904,390.25,231.561
06-Oct-82,402.5,238.166,404,238.573
07-Oct-82,417.25,246.209,418.5,246.22
08-Oct-82,438,255.916,433,252.478
11-Oct-82,432.75,251.599,430,250.364
12-Oct-82,442.25,257.272,441.25,255.649
13-Oct-82,429.5,250.613,428.75,250.146
14-Oct-82,448,261.438,448,262.295
15-Oct-82,437.25,256.949,432.5,254.232
18-Oct-82,426.5,249.08,428.25,250.658
19-Oct-82,439,257.478,441.5,258.384
20-Oct-82,429.75,252.646,422,248.791
21-Oct-82,432.25,254.864,432.5,254.907
22-Oct-82,426.25,251.001,428,251.883
25-Oct-82,420.5,249.57,418.6,248.619
26-Oct-82,416.5,247.137,419.25,248.518
27-Oct-82,422.25,250.074,417.75,247.849
28-Oct-82,418.25,248.441,418.25,249.181
29-Oct-82,422,251.715,423.25,252.385
01-Nov-82,426.75,254.245,427.25,254.467
02-Nov-82,431.5,256.19,431,255.786
03-Nov-82,433.5,257.729,427.5,254.313
04-Nov-82,426,255.166,424.75,254.372
05-Nov-82,423,253.445,417.5,250.826
08-Nov-82,411,248.039,407.25,246.117
09-Nov-82,410,247.51,409.25,246.878
10-Nov-82,412,247.596,411,246.713
11-Nov-82,408,246.421,401.25,242.359
12-Nov-82,400,241.955,398,240.978
15-Nov-82,404.5,247.325,403.25,247.089
16-Nov-82,404,248.081,407.5,250.769
17-Nov-82,412.6,257.312,412.5,257.893
18-Nov-82,409.25,255.223,408.5,254.755
19-Nov-82,417,257.726,417.6,257.698
22-Nov-82,413.4,259.837,410.5,257.447
23-Nov-82,404.75,253.921,406,254.785
24-Nov-82,404.5,253.764,409.25,255.701
25-Nov-82,410.25,257.371,410.5,258.746
26-Nov-82,413.75,263.032,417.75,261.257
29-Nov-82,428.5,266.364,434,269.984
30-Nov-82,428.25,265.746,436,269.885
01-Dec-82,440,269.245,440.25,269.728
02-Dec-82,435.75,267.693,446.25,273.605
03-Dec-82,440.75,269.078,441.25,268.727
06-Dec-82,443,271.413,445.25,273.243
07-Dec-82,458.15,281.938,454.5,279.006
08-Dec-82,449.25,274.267,445,273.644
09-Dec-82,442.5,273.706,437.5,270.814
10-Dec-82,439,271.49,435.75,269.481
13-Dec-82,438.75,272.973,438.75,273.194
14-Dec-82,449.25,278.139,449.4,277.236
15-Dec-82,435.25,269.171,437.5,270.982
16-Dec-82,441.5,272.733,440.25,271.257
17-Dec-82,440.5,271.495,437,269.753
20-Dec-82,440.75,272.995,440.25,272.516
21-Dec-82,441.75,273.614,442.25,274.809
22-Dec-82,448.15,278.095,447.25,277.45
23-Dec-82,445.5,276.708,445.75,277.553
24-Dec-82,448.5,278.571,***,***
27-Dec-82,***,***,***,***
28-Dec-82,***,***,***,***
29-Dec-82,456.75,280.559,460.5,283.21
30-Dec-82,457.25,282.166,456.9,281.516
31-Dec-82,448,277.485,***,***
,,,,
,,,,
,,,,
,,,,
1983,GOLD, A.M.,GOLD, P.M.
 ,USD,GBP,USD,GBP
,,,,
03-Jan-83,***,***,***,***
04-Jan-83,452.75,278.187,449.5,276.445
05-Jan-83,454.75,280.105,454,279.85
06-Jan-83,458,283.943,454.5,282.21
07-Jan-83,454,283.661,465,288.551
10-Jan-83,474,295.973,474,297.179
11-Jan-83,490.5,311.093,484.5,308.992
12-Jan-83,483,305.599,480.5,304.403
13-Jan-83,491,312.103,488.25,308.726
14-Jan-83,483.75,305.803,483.25,305.564
17-Jan-83,494.5,311.261,498.5,313.286
18-Jan-83,487,308.228,485,307.741
19-Jan-83,497.75,317.2,495.5,315.003
20-Jan-83,487.5,311.203,487.25,310.252
21-Jan-83,490.25,310.58,485,308.034
24-Jan-83,475.75,307.332,476,309.191
25-Jan-83,485,315.858,488.75,316.856
26-Jan-83,488.25,315.102,486.5,314.581
27-Jan-83,493.5,320.767,496.5,322.256
28-Jan-83,492.5,320.575,493.75,320.45
31-Jan-83,503,327.794,499.5,327.219
01-Feb-83,508.5,333.946,508.5,332.897
02-Feb-83,498.25,327.473,498.25,327.796
03-Feb-83,506,332.239,503.5,330.706
04-Feb-83,501,329.172,498.5,328.133
07-Feb-83,489,321.711,490.25,321.792
08-Feb-83,496.5,322.507,497.25,322.953
09-Feb-83,492.25,319.125,492.25,319.125
10-Feb-83,494.75,319.606,496,321.556
11-Feb-83,506,327.085,504.5,325.904
14-Feb-83,500.5,325.698,500.5,325.275
15-Feb-83,511.5,330.426,509.25,328.824
16-Feb-83,506.75,328.312,508.5,329.403
17-Feb-83,506,326.873,504.75,326.593
18-Feb-83,502.25,325.502,503.5,325.048
21-Feb-83,503.75,326.898,504.5,327.597
22-Feb-83,503.25,328.75,485.5,319.513
23-Feb-83,479.25,315.608,470.25,309.885
24-Feb-83,473.75,310.962,475,310.458
25-Feb-83,470.75,308.426,464.75,303.52
28-Feb-83,419.75,275.607,408.5,269.015
01-Mar-83,414.5,274.74,414,274.408
02-Mar-83,431,286.379,430,285.24
03-Mar-83,431.75,285.738,429.5,283.873
04-Mar-83,415.5,274.402,412.5,272.277
07-Mar-83,421.25,277.558,420.75,277.54
08-Mar-83,422.25,280.137,417.5,276.949
09-Mar-83,424.25,281.763,426,283.151
10-Mar-83,433,286.907,434.75,287.533
11-Mar-83,424,281.26,420.5,280.203
14-Mar-83,431.75,286.401,428.5,284.151
15-Mar-83,436.5,288.176,434.5,286.855
16-Mar-83,424,281.037,419,278.128
17-Mar-83,416.75,276.451,416.5,276.249
18-Mar-83,419.75,279.74,421.75,282.731
21-Mar-83,414.5,279.501,414.5,281.303
22-Mar-83,420.75,285.022,421.25,285.651
23-Mar-83,413,281.661,410,280.438
24-Mar-83,415,284.052,415.5,283.579
25-Mar-83,411.25,281.582,411.75,281.693
28-Mar-83,412,282.909,408.75,281.179
29-Mar-83,412,282.773,412.75,283.541
30-Mar-83,417.25,285.944,418,286.105
31-Mar-83,414.25,280.372,414.75,279.632
01-Apr-83,***,***,***,***
04-Apr-83,***,***,***,***
05-Apr-83,425.75,285.03,426.75,284.595
06-Apr-83,428.5,283.399,428.5,282.372
07-Apr-83,426.5,281.928,425.75,282.197
08-Apr-83,423,280.504,421.25,280.086
11-Apr-83,427.75,281.045,426.75,280.204
12-Apr-83,433.25,282.616,432.75,281.977
13-Apr-83,428.75,278.012,429.25,277.976
14-Apr-83,436.25,284.48,435.5,283.621
15-Apr-83,435.75,282.276,436.5,282.616
18-Apr-83,443,284.339,443,284.339
19-Apr-83,441.5,282.56,439.5,282.328
20-Apr-83,434,279.243,433.75,278.813
21-Apr-83,440.5,285.298,439.5,284.503
22-Apr-83,436.25,281.452,437,282.3
25-Apr-83,442.25,283.185,441.5,281.803
26-Apr-83,435.25,276.965,435.5,276.824
27-Apr-83,436.5,278.7,434.25,277.423
28-Apr-83,427,273.28,428.5,274.768
29-Apr-83,428.5,273.977,429.25,274.896
02-May-83,***,***,***,***
03-May-83,431,273.131,433.5,274.715
04-May-83,434.5,274.531,432.75,273.201
05-May-83,435,276.63,433.75,274.664
06-May-83,431.5,273.847,431.25,273.202
09-May-83,435,275.316,434,274.997
10-May-83,439.25,279.777,443.75,283.365
11-May-83,443.25,282.685,443,281.896
